evaluation,source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,ap_over_prevalence,patient_auroc_lo,patient_auroc_hi,hospital_auroc_lo,hospital_auroc_hi
lodo,MIMIC-III + MIMIC-IV,eICU,demographic,next_aki_progression,18776,0.1082765232211333,0.5080965626030909,0.1102247688372899,0.0984971895813942,0.0434201091570001,1.017993241362005,0.4948390833732483,0.5204021874464434,0.4898468179786078,0.5197967118292828
lodo,MIMIC-III + MIMIC-IV,eICU,demographic,next_aki_stage2plus,18776,0.441947166595654,0.5269573819488236,0.462846085634771,0.2725168168544769,0.1624415944110956,1.047288274750357,0.5190646220212808,0.5343704255339653,0.5155366879886083,0.5387975925459176
lodo,MIMIC-III + MIMIC-IV,eICU,demographic,next_aki_stage3,18776,0.1572219855134214,0.543800979987176,0.1736551807279341,0.1441294699907302,0.1097799180988992,1.1045222470690008,0.5319930754438938,0.5538911043404857,0.5320194804823233,0.559019482490134
lodo,MIMIC-III + MIMIC-IV,eICU,demographic,hospital_death,18776,0.1245739241585002,0.5889069808641143,0.157345383118445,0.1080635413527488,0.0047098635360566,1.26306836829069,0.5782738056633395,0.6014114623470197,0.5694089870937068,0.6039131375754764
lodo,MIMIC-III + MIMIC-IV,eICU,demographic,icu_death,18774,0.077500798977309,0.5578362678575007,0.0902588449701248,0.0714802369475364,0.0102625390346265,1.1646182511815286,0.5422645922678923,0.5744615874516963,0.5383788140574391,0.5746650779869733
lodo,MIMIC-III + MIMIC-IV,eICU,xgboost,next_aki_progression,18776,0.1082765232211333,0.525889493018189,0.1144787658527659,0.2584072103089098,0.4019467443510299,1.0572815089284473,0.5129084819654447,0.5377238332408083,0.5109645835858215,0.5412816397822403
lodo,MIMIC-III + MIMIC-IV,eICU,xgboost,next_aki_stage2plus,18776,0.441947166595654,0.5289418851908423,0.4638219031701666,0.2514607334847366,0.073160994878895,1.0494962706583573,0.5202599897696526,0.5368246579057057,0.5176125317469288,0.5404109953274685
lodo,MIMIC-III + MIMIC-IV,eICU,xgboost,next_aki_stage3,18776,0.1572219855134214,0.554580954524156,0.1779854469774159,0.2090530156802929,0.2733797654255583,1.132064618037927,0.5432190521315018,0.566114488763299,0.5406838797006996,0.569097621842956
lodo,MIMIC-III + MIMIC-IV,eICU,xgboost,hospital_death,18776,0.1245739241585002,0.5873873485826653,0.1559689667137604,0.2113792400812904,0.3151729096720828,1.2520193753816014,0.5761000766069925,0.6001392056131044,0.5676380321400777,0.603190336248707
lodo,MIMIC-III + MIMIC-IV,eICU,xgboost,icu_death,18774,0.077500798977309,0.5581977285340435,0.0904415033589547,0.207903660893237,0.3629907651254643,1.1669751093202865,0.5426802846310462,0.5739787418395892,0.5379915090589855,0.5768251646816667
lodo,MIMIC-III + MIMIC-IV,eICU,random_transformer,next_aki_progression,18776,0.1082765232211333,0.5337117928074367,0.1241425340329361,0.0992957204580307,0.053587363782078,1.146532326120221,0.520352748470856,0.5458938418316079,0.5215419000394645,0.5523444987590148
lodo,MIMIC-III + MIMIC-IV,eICU,random_transformer,next_aki_stage2plus,18776,0.441947166595654,0.5222137606915815,0.4612614428018769,0.2641582190990448,0.133410963823072,1.0437026813747943,0.5136870904299036,0.5294675062920541,0.5096584003923246,0.5364450058691839
lodo,MIMIC-III + MIMIC-IV,eICU,random_transformer,next_aki_stage3,18776,0.1572219855134214,0.5500548804464284,0.1786878219077521,0.1480530649423599,0.1255310390457672,1.1365320271476806,0.5389717176374426,0.5605648083492151,0.5353574025382959,0.5668613929807019
lodo,MIMIC-III + MIMIC-IV,eICU,random_transformer,hospital_death,18776,0.1245739241585002,0.5861620761281567,0.1561092699639319,0.1085215359926223,0.0211501793866849,1.2531456403774202,0.5759786003808249,0.5987702246607742,0.568652342559498,0.6003494222571852
lodo,MIMIC-III + MIMIC-IV,eICU,random_transformer,icu_death,18774,0.077500798977309,0.5547028083690935,0.0901276452573133,0.0715034157037735,0.0135561685754783,1.1629253691139525,0.5402802502902797,0.5709465856525914,0.5358903209616324,0.568226908626849
lodo,MIMIC-III + MIMIC-IV,eICU,semantic_transformer,next_aki_progression,18776,0.1082765232211333,0.5137190457669443,0.1175277370904699,0.0991383641958236,0.0468961095386218,1.0854406254848323,0.5001965700773592,0.5262117902211187,0.5016730098935895,0.5368918894538167
lodo,MIMIC-III + MIMIC-IV,eICU,semantic_transformer,next_aki_stage2plus,18776,0.441947166595654,0.5251836866381793,0.4831492063516267,0.2767581045627594,0.1750799172502734,1.0932284283511864,0.5170033776179099,0.5341148522647777,0.5158960466621763,0.5361534306838446
lodo,MIMIC-III + MIMIC-IV,eICU,semantic_transformer,next_aki_stage3,18776,0.1572219855134214,0.5732349223059344,0.2678076756082264,0.1362844109535217,0.0985217965765517,1.703372939437689,0.5607524064135008,0.5864286561245269,0.5512129754090496,0.6019792546578773
lodo,MIMIC-III + MIMIC-IV,eICU,semantic_transformer,hospital_death,18776,0.1245739241585002,0.6485974808968482,0.2309544984129154,0.1127096340060234,0.0392135762136142,1.853955392133775,0.6353544985021433,0.6604045062775268,0.6324113140614719,0.6646036589796224
lodo,MIMIC-III + MIMIC-IV,eICU,semantic_transformer,icu_death,18774,0.077500798977309,0.6455929159501245,0.1680093689511496,0.0743969529867172,0.0252532165287604,2.1678404760748347,0.6295992159899366,0.6607333263513375,0.6312206402961416,0.6639949562981061
